verse_no,spoken_by,sanskrit_text,translation_1,translation_2,translation_3,translation_4,translation_5
1.15,Sanjay,पञचजनय हषकश दवदतत धनजय पणडर दधम महशङख भमकरम वकदर,sri krishna blew his conch pancajanya arjuna his devadatta and bhima of terrible deeds blew his great conch paundra,hrsikesa krsna blew the conch pancajanya dhananjaya arjuna blew the conch devadatta and vrkodara bhima of terrible deeds blew the great conch paundra,hrishikesha blew the panchajanya arjuna blew the devadatta and bhima the wolfbellied doer of terrible deeds blew the great conch paundra,hrsikesa krsna blew the pancajanya dhananjaya arjuna blew the devadatta and bhima of the terrible deeds blew the mighty conchshell paundra,lord shri krishna blew his panchajanya and arjuna blew his devadatta brave bheema blew his renowned shell poundra
1.16,Sanjay,अननतवजय रज कनतपतर यधषठर नकल सहदवशच सघषमणपषपक,king yudhisthira the son of kunti blew his conch anantavijaya and nakula and sahadeva blew their conchs sughosa and manipuspaka,king yudhisthira son of kunti blew the anantavijaya nakula and sahadeva blew the sughosa and the manipuspaka respectively,king yudhishthira the son of kunti blew the anantavijaya nakula and sahadeva blew the sughosha and the manipushpaka,kuntis son the king yudhisthira blew the anantavijaya nakula and sahadeva blew the sughosa and manipuspaka respectively,the king dharmaraja the son of kunti blew the anantavijaya nakula and sahadeva the sughosa and manipushpaka respectively
1.17,Sanjay,कशयशच परमषवस शखणड च महरथ धषटदयमन वरटशच सतयकशचपरजत,and the king of kasi the supreme bowman sikandi the mighty warrior dhrstadyumna and virata and satyaki the invincible,and the king of kashi wielding a great bow and the great chariotrider sikhandin dhrstadyumna virata and satyaki the unconquered,the king of kasi an excellent archer sikhandi the mighty carwarrior dhrishtadyumna virata and satyaki the unconquered,and the king of kasi a great archer and sikhandin a mighty warrior dhrstadyumna and the king of virata and the unconquered satyaki,and the maharaja of benares the great archer shikhandi the great soldier dhrishtayumna virata and satyaki the invincible one
1.18,Sanjay,दरपद दरपदयशच सरवश पथवपत सभदरशच महबह शङखनदधम पथकपथक,drupada and the sons of draupadi as well as the strongarmed son of subhadraall o king blew their respective conchs again and again,drupada and the sons of draupadi as well as the mightyarmed son of subhadra all of them together o king blew their respective conchs,drupada and the sons of draupadi o lord of the earth and the son of subhadra the mightyarmed blew their conches each separately,the pancala king a mighty archer and draupads five sons as well as the mightyarmed son of subhadra each blew their own conchshells individually,and o king drupadas sons droupadis sons and the great soldier soubhadra blew their conches
1.19,Sanjay,स घष धरतरषटरण हदयन वयदरयत नभशच पथव चव तमल वयननदयन,and that tumultuous uproar reverberating through heaven and earth rent the hearts of dhrtarastras sons,that tremendous sound pierced the hearts of the sons of dhrtarastra as it reverberated through the sky and the earth,the tumultuous sound rent the hearts of dhritarashtras party reverberating through both heaven and earth,resonating in both the sky and the earth the tumultuous sound shattered the hearts of dhrtarastras men,the tumult rent the hearts of the sons of dhritarashtra shaking heaven and earth with its echoing violence
1.20,Sanjay,अथ वयवसथतन दषटव धरतरषटरनकपधवज परवतत शसतरसपत धनरदयमय पणडव,then arjuna whose banner crest was hanuman on beholding the sons of dhrtarastra arrayed took up his bow while missiles were beginning to fly,o king thereafter seeing dhrtarastras men standing in their positions with all the weapons ready for action the son of pandu arjuna who had the insignia of hanuman on his chariotflag raised his bow and said the following to hrsikesa,then seeing the people of dhritarashtras party standing arrayed and the discharge of weapons about to begin arjuna the son of pandu whose ensign was a monkey took up his bow and said the following to krishna o lord of the earth,o king then observing dhrtarastras men arrayed when the armed clash had virtually begun at that time pandus son the monkeybannered one arjuna raising his bow spoke these sentences,then upon beholding the sons of dhritarashtra drawn up on the battlefield ready to fight arjuna whose flag bore the image of hanuman
1.21,Arjun,हषकश तद वकयमदमह महपत सनयरभयरमधय रथ सथपय मऽचयत,and he spoke o lord of the earth these words to sri krishna arjuna said draw up my chariot o krishna between the two armies,arjuna said o acyuta please place my chariot between both the armies,arjuna said o krishna place my chariot in the middle between the two armies so that i may behold those who stand here desirous to fight and know with whom i must fight when the battle is about to commence,arjuna said o acyuta please halt my chariot at a central place between the two armies so that i may scrutinize these men who are standing with a desire to fight and with whom i have to engage in this great wareffort,raising his bow he spoke this to the lord shri krishna o infallible lord of the earth please draw up my chariot between the two armies
1.22,Arjun,यवदतननरकषऽह यदधकमनवसथतन करमय सह यदधवयमसमनरणसमदयम,so that i may have a good look at those who are standing eager to fight and know with whom i must fight in this enterprise of war,until i survey those who stand intent on fighting and those who are about to engage in battle with me in this impending war,arjuna said o krishna place my chariot in the middle between the two armies so that i may behold those who stand here desirous to fight and know with whom i must fight when the battle is about to commence,i shall scrutinize those who are ready to fight who have assembled here and are eager to achieve in the battle what is dear to the evilminded son of dhrtarastra,so that i may observe those who must fight on my side and those who must fight against me
1.23,Arjun,यतसयमननवकषऽह य एतऽतर समगत धरतरषटरसय दरबदधरयदध परयचकरषव,i wish to see those gathered here ready to fight in this battle in order to please the evilminded son of dhrtarashtra,these who have assembled here and want to accomplish in the war what is dear to the perverted son of dhrtarastra i find them to be intent on fighting,for i desire to observe those who are assembled here to fight wishing to please in battle the evilminded duryodhanathe son of dhritarashtra,sanjaya said o descendant of bharata dhrtarastra thus instructed by gudakesa arjuna hrsikesa halted the best chariot at a place in between the two armies in front of bhisma and drona and all the rulers of the earth he then said o son of prtha behold these kurus assembled,and gaze upon this array of soldiers eager to please the sons of dhritarashtra who are sinful
1.24,Sanjay,एवमकत हषकश गडकशन भरत सनयरभयरमधय सथपयतव रथततमम,sanjaya said thus addressed by arjuna sri krishna drew up the best of chariots between the two armies in full view of bhisma drona and all the other kings o dhrtarastra he then said o arjuna behold these assembled kauravas,sanjaya said o scion of the line of bharata hrishikesa being told so by gudakesa arjuna placed the excellent chariot between the two armies in front of bhishma and drona as well as all the rulers of the earth and said o partha behold these assembled kurus,sanjaya said thus addressed by arjuna krishna stationed the best of chariots o dhritarashtra in the midst of the two armies,sanjaya said o descendant of bharata dhrtarastra thus instructed by gudakesa arjuna hrsikesa halted the best chariot at a place in between the two armies in front of bhisma and drona and all the rulers of the earth he then said o son of prtha behold these kurus assembled,sanjaya said having listened to arjunas request lord shri krishna drew up his bright chariot in the midst between the two armies
1.25,Sanjay,भषमदरणपरमखत सरवष च महकषतम उवच परथ पशयतनसमवतनकरनत,sanjaya said thus addressed by arjuna sri krishna drew up the best of chariots between the two armies in full view of bhisma drona and all the other kings o dhrtarastra he then said o arjuna behold these assembled kauravas,sanjaya said o scion of the line of bharata dhrtarashtra hrsikesa being told so by gudakesa arjuna placed the excellent chariot between the two armies in front of bhisma and drona as well as all the rulers of the earth and said o partha arjuna behold these assembled people of the kuru dynasty,in front of bhishma and drona and all the rulers of the earth he said o arjuna son of pritha behold these kurus gathered together,there in both the armies the son of prtha observed his fathers paternal grandfathers teachers maternal uncles brothers sons sons sons and comrades fathersinlaw and also friends,where bheeshma and drona had led all the rulers of the earth they spoke thus o arjuna behold these members of the family of kuru are assembled
1.26,Sanjay,ततरपशयतसथतनपरथ पतनथ पतमहन आचरयनमतलनभरतनपतरनपतरनसखसतथ,then as arjuna looked on he saw standing there fathers grandfathers teachers uncles brothers sons grandsons and comrades,then arjuna saw marshalled among both the armies his uncles grandfathers teachers maternal uncles brothers cousins sons grandsons comrades fathersinlaw and friends,then arjuna son of pritha saw there in the armies stationed fathers grandfathers teachers maternal uncles brothers sons grandsons and friends,noticing all those kinsmen arrayed in the army the son of kunti was overwhelmed with immense compassion and despondent he uttered this,there arjuna noticed fathers grandfathers uncles cousins sons grandsons teachers and friends
1.27,Sanjay,शवशरनसहदशचव सनयरभयरप तनसमकषय स कनतय सरवनबनधनवसथतन,fathersinlaw and dear friends in both armies when arjuna saw all these kinsmen arrayed,the son of kunti arjuna seeing all those relatives arrayed there became overwhelmed by supreme compassion and sorrowfully said this,he saw fathersinlaw and friends in both the armies the son of kunti arjuna seeing all those kinsmen thus standing arrayed spoke sorrowfully deeply filled with pity,arjuna said o krishna on seeing these warmongering kinsfolk of mine arrayed in the armies my limbs fail and my mouth goes dry,fathersinlaw and benefactors were arrayed on both sides and arjuna then gazed at all those kinsmen before him
1.28,Arjun,कपय परयऽऽवषट वषदननदमबरवत दषटवम सवजन कषण ययतस समपसथतम,he was filled with deep compassion and said these words in despair,arjuna said o krsna seeing these relatives and friends who have assembled here with the intention of fighting my limbs become languid and my mouth becomes completely dry,arjuna said o krishna seeing my kinsmen arrayed here eager to fight,shivers and goosebumps arise in my body the gandiva slips from my hand and my skin is burning all over,and his heart melted with pity and sadly he spoke o my lord when i see all these my own people thirsting for battle
1.29,Arjun,सदनत मम गतरण मख च परशषयत वपथशच शरर म रमहरषशच जयत,my limbs have weakened my mouth has become parched my body is trembling and my hairs are standing on end,and there is trembling in my body and my hair stands on end the gandiva bow slips from my hand and my skin burns intensely,my limbs fail my mouth is parched my body quivers and my hair stands on end,i am unable even to stand steady my mind seems to be confused and i see adverse omens o kesava,my limbs are failing me my throat is parched my body is trembling and my hair is standing on end
1.30,Arjun,गणडव सरसत हसतततवकचव परदहयत न च शकनमयवसथत भरमतव च म मन,the bow gandiva slips from my hand and my skin is burning i can no longer stand my mind seems to be reeling,moreover o kesava krishna i am not able to stand firmly and my mind seems to be whirling and i observe the omens to be adverse,the gandiva slips from my hand and my skin burns all over i am unable to stand and my mind is reeling as it were,i do not foresee any good in killing my own kinsmen in the battle o krsna i neither wish for victory nor kingdom nor the pleasures thereof,the bow gandiva slips from my hand and my skin burns i cannot remain still for my mind is in tumult
1.31,Arjun,नमततन च पशयम वपरतन कशव न च शरयऽनपशयम हतव सवजनमहव,i see kṛṣṇa inauspicious omens i foresee no good in slaying my kinsmen in battle,besides i do not see any good to be derived from killing my own people in battle o krsna i do not hanker after victory nor even a kingdom nor pleasures,and i see ill omens o kesava i do not see any good in slaying my kinsmen in battle,o govinda what use is the kingdom to us what use are its pleasures and life even,the omens are unfavorable what good can come from the slaughter of my people on this battlefield
1.32,Arjun,न कङकष वजय कषण न च रजय सखन च क न रजयन गवनद क भगरजवतन व,i desire no victory nor empire nor pleasures what have we to do with empire o krishna or enjoyment or even life,o govinda what need do we have of a kingdom or what need of enjoyments and livelihood those for whom kingdom enjoyments and pleasures are desired by ussuch as teachers uncles fathersinlaw grandsons brothersinlaw as well as relativesthose very ones stand arrayed for battle risking their lives and wealth,i desire not victory o krishna nor kingdom nor pleasures what use is dominion to us o krishna or pleasures or even life,for whose sake we seek kingdom its pleasures and happiness the very same persons now stand arrayed to fight giving up their lives and wealth,ah my lord i do not crave victory nor a kingdom nor any pleasure what would a kingdom happiness or life be to me
1.33,Arjun,यषमरथ कङकषत न रजय भग सखन च त इमऽवसथत यदध परणसतयकतव धनन च,those for whose sake we desire empire enjoyment and pleasures stand here in war renouncing life and wealth,o govinda what need do we have of a kingdom or what need of enjoyments and livelihood those for whom kingdom enjoyments and pleasures are desired by ussuch as teachers uncles fathersinlaw grandsons brothersinlaw as well as relativesthose very ones stand arrayed for battle risking their lives and wealth,those for whose sake we desire kingdom enjoyments and pleasures stand here in battle having renounced life and wealth,these are our teachers fathers sons paternal grandfathers maternal uncles fathersinlaw sons sons wives brothers and other relatives,when those for whose sake i desire these things stand here about to sacrifice their property and lives
1.34,Arjun,आचरय पतर पतरसतथव च पतमह मतल शचशर पतर शयल समबनधनसतथ,all these are to be regarded as ones own self teachers fathers sons grandfathers uncles fathersinlaw grandsons brothersinlaw and other kinsmenall these are to be regarded as ones own self,o govinda what need do we have of a kingdom or what need of enjoyments and livelihood those for whom kingdom enjoyments and pleasures are desired by ussuch as teachers uncles fathersinlaw grandsons brothersinlaw as well as relativesthose very ones stand arrayed for battle risking their lives and wealth,teachers fathers sons and grandfathers maternal uncles fathersinlaw grandsons brothersinlaw and other relatives,o slayer of mandhu krsna i do not desire to slay these men even though they slay me not even for the sake of the kingdom of the three worlds let alone for the sake of the earth,teachers fathers grandfathers sons grandsons uncles fathersinlaw brothersinlaw and other relatives
1.35,Arjun,एतनन हनतमचछम घनतऽप मधसदन अप तरलकयरजयसय हत क न महकत,i would not slay them even if they might slay me for the sovereignty of the three worldshow much less for this earth o krsna,o madhusudana even if i am killed i do not want to kill these even for the sake of a kingdom extending across the three worlds let alone doing so for the earth,these i do not wish to kill o krishna even though they kill me for the sake of dominion over the three worlds leave alone killing them for the sake of the earth,what joy would we gain by slaying dhrtarastras sons o janardana,i would not kill them even for three worlds why then for this earth alone it matters not if i myself am killed
1.36,Arjun,नहतय धरतरषटरनन क परत सयजजनरदन पपमवशरयदसमनहतवतनततयन,if we were to kill the sons of dhrtarastra what joy would be ours o krsna sin alone would accrue to us if we killed these murderous felons,o janardana what happiness will we gain by killing the sons of dhrtarastra we will only incur sin by killing these wrongdoers,by killing these sons of dhritarashtra what pleasure could be ours o janardana only sin would accrue to us from killing these felons,nothing but sin would slay these desperadoes and take hold of us therefore we should not slay dhrtarastras sons our own relatives,my lord what happiness can come from the death of these sons of dhritarashtra we shall be committing a sin if we kill these desperate men
1.37,Arjun,तसमननरह वय हनत धरतरषटरनसवबनधवन सवजन ह कथ हतव सखन सयम मधव,therefore it is not befitting for us to slay our kin the sons of dhrtarastra for if we kill our kinsmen o krsna how can we be happy,therefore it is not proper for us to kill the sons of dhrtarastra who are our own relatives for o madhava how can we be happy by killing our kinsmen,therefore we should not kill the sons of dhritarashtra our relatives for how can we be happy by killing our own kin o madhava krishna,how could we be truly happy o madhava after slaying our own kinsmen,we are worthy of a nobler feat than slaughtering our relativesthe sons of dhritarashtra for my lord how can we be happy if we kill our kinsmen
1.38,Arjun,यदयपयत न पशयनत लभपहतचतस कलकषयकत दष मतरदरह च पतकम,though these people whose minds are overpowered by greed see no evil in the destruction of a clan and no sin in treachery to friends,o janardana although these people whose hearts have become perverted by greed do not see the evil arising from destroying the family and sinning in hostility towards friends yet how can we who clearly see the evil arising from destroying the family remain unaware of the need to abstain from this sin,though they with intelligence overpowered by greed see no evil in the destruction of families and no sin in hostility to friends,of course these dhrtarastras sons with their intellects overpowered by greed do not see the evil consequences ensuing from the ruin of the family and the sin of cheating friends,although these men blinded by greed see no guilt in destroying their kin or fighting against their friends
1.39,Arjun,कथ न जञयमसमभ पपदसमननवरततम कलकषयकत दष परपशयदभरजनरदन,why should we not learn to shun this crimewe who see the evil of ruining a clan o krishna,o janardana although these people whose hearts have become perverted by greed do not see the evil arising from destroying the family and sinning in hostility towards friends yet how can we who clearly see the evil arising from destroying the family remain unaware of the need to abstain from this sin,why should we not who clearly see the evil in the destruction of families learn to turn away from this sin o janardana krishna,but perceiving clearly the evil consequences ensuing from the ruin of the family should we not have sense enough to refrain from this sinful act o janardana,should we not whose eyes are open and who consider it wrong to annihilate our family turn away from such a great crime
1.40,Arjun,कलकषय परणशयनत कलधरम सनतन धरम नषट कल कतसनमधरमऽभभवतयत,with the ruin of a clan its ancient traditions perish and when traditions perish lawlessness overtakes the whole clan,from the ruin of the family the traditional rites and duties are totally destroyed when rites and duties are destroyed vice overwhelms the entire family,in the destruction of a family the immemorial religious rites of that family perish on the destruction of spirituality impiety indeed overwhelms the whole family,when a family ruins the eternal duties of the family perish when the duties perish impiety inevitably dominates the entire family,the destruction of our kindred means the destruction of the traditions of our ancient lineage and when these are lost irreligion will overrun our homes
1.41,Arjun,अधरमभभवतकषण परदषयनत कलसतरय सतरष दषटस वरषणय जयत वरणसङकर,when lawlessness prevails o krsna the women of the clan become corrupted when women become corrupted there arises an intermixing of classes,o krishna when vice predominates the women of the family become corrupt o descendant of the vrsnis when women become corrupted it results in the intermingling of castes,o krishna by the prevalence of impiety the women of the family become corrupt and when women are corrupted o varshenya descendant of vrishni intermingling of castes arises,o krsna due to the domination of impiety the women of the family become corrupt o member of the vrsniclan when the women become corrupt there arises the intermixture of castes,when irreligion spreads the women of the house start to stray when they lose their purity adulteration of the lineage follows
1.42,Arjun,सङकर नरकयव कलघनन कलसय च पतनत पतर हयष लपतपणडदककरय,this mixing of classes leads to hell for the clan itself and its destroyers for the spirits of their ancestors fall degraded deprived of the ritual offerings of food and water,and the intermingling in the family leads the ruiners of the family verily into hell the forefathers of these fall down into hell due to being deprived of the offerings of riceballs and water,confusion of castes leads to hell for the slayers of the family for their forebears fall deprived of the offerings of riceballs and libations of water,the intermixture leads the familyruiners and their families to nothing but hell for their ancestors their individual souls fall down in hell being deprived of the rites of offering riceballs and water intended for them,promiscuity ruins both the family and those who defile it while the souls of our ancestors droop due to the lack of funeral cakes and ablutions
1.43,Arjun,दषरत कलघनन वरणसङकरकरक उतसदयनत जतधरम कलधरमशच शशवत,by the sins of the clandestroyers who bring about intermixing of classes the ancient traditions of the clans and classes are destroyed,due to the misdeeds of the ruiners of the family which cause intermingling of castes the traditional rites and duties of the castes and families are destroyed,by these evil deeds of the destroyers of the family which cause confusion of castes the eternal religious rites of the caste and the family are destroyed,on account of these evils of the familyruiners that cause the intermixing of castes the eternal casteduties and familyduties fall into disuse,by the destruction of our lineage and the pollution of our blood ancient class traditions and family purity alike perish
1.44,Arjun,उतसननकलधरमण मनषयण जनरदन नरकऽनयत वस भवततयनशशरम,for those whose clan laws are destroyed dwelling in hell is ordained o krishna thus we have heard,o janardana we have heard that living in hell is inevitable for those whose family duties are destroyed,we have heard o janardana that those men in whose families the religious practices have been destroyed are inevitably destined to dwell in hell for an unknown period,o janardana dwelling in hell is certain for men whose family duties have fallen into disuse this we have heard,the wise say my lord that they are forever lost whose ancient traditions have been lost
1.45,Arjun,अह बत महतपप करत वयवसत वयम यदरजयसखलभन हनत सवजनमदयत,alas we have resolved to commit a great sin for we are ready to slay our kin out of desire for sovereignty and enjoyment,what a pity that we have resolved to commit a great sin eager to kill our own kith and kin out of greed for the pleasures of a kingdom,alas we are involved in a great sin for we are prepared to kill our kinsmen out of greed for the pleasures of a kingdom,alas what a great sin have we resolved to commit for out of greed for the joy of the kingdom we are striving to slay our own kinfolk,alas it is strange that we should be willing to kill our own countrymen and commit a great sin in order to enjoy the pleasures of kingdom
1.46,Arjun,यद ममपरतकरमशसतर शसतरपणय धरतरषटर रण हनयसतनम कषमतर भवत,if the wellarmed sons of dhrtarastra should slay me in battle unresisting and unarmed that would be better for me,if in this battle the sons of dhrtarastra armed with weapons kill me who am nonresistant and unarmed that will be more beneficial for me,if the sons of dhritarashtra with weapons in hand should slay me in battle unresisting and unarmed that would be better for me,it would be more beneficial for me if dhrtarastras men with weapons in their hands should slay me unresisting and unarmed,if on the contrary the sons of dhritarashtra with weapons in hand should slay me unarmed and unresisting surely that would be better for my welfare
1.47,Sanjay,एवमकतवऽरजन सखय रथपसथ उपवशत वसजय सशर चप शकसवगनमनस,sanjaya said having spoken thus on the battlefield arjuna threw aside his bow and arrows and sat down on the chariot seat his heart overwhelmed with grief,sanjaya narrated having said so arjuna with a mind afflicted by sorrow sat down on the chariot in the midst of the battle casting aside his bow along with the arrows,sanjaya said having thus spoken in the midst of the battlefield arjuna cast away his bow and arrow and his mind overwhelmed with sorrow sat down on the seat of the chariot,sanjaya said having said this much about the battle and letting his bow and arrows fall arjuna sat down on the back of the chariot his mind agitated with grief,sanjaya said having spoken thus arjuna sank into the seat of his chariot discarding his bow and arrow overwhelmed with grief in the midst of the armies
2.1,Sanjay,त तथ कपयऽवषटमशरपरणकलकषणम वषदनतमद वकयमवच मधसदन,sanjaya said to him who was overcome with pity whose eyes were wet with tears who was sorrowstricken and bore a bewildered look sri krishna spoke as follows,sanjaya said to him who had been filled with pity whose eyes were filled with tears and showed distress and who was sorrowing madhusudana uttered these words,sanjaya said to him who was thus overcome with pity despondent with eyes full of tears and agitated madhusudana the destroyer of madhu or krishna spoke these words,sanjaya said to him who was thus possessed by compassion whose eyes were confused and filled with tears and who was sinking in despondency madhusudana spoke the following words,sanjaya then told how the lord shri krishna seeing arjuna overwhelmed with compassion his eyes dimmed with flowing tears and full of despondency consoled him
